Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
3:00pm,3:00pm,5:00pm,3:00pm,1:00pm,1:00pm,3:00pm
4:00pm,4:00pm,6:00pm,4:00pm,2:00pm,2:00pm,4:00pm
5:00pm,5:00pm,7:00pm,5:00pm,3:00pm,3:00pm,5:00pm
6:00pm,6:00pm,8:00pm,6:00pm,4:00pm,4:00pm,6:00pm
